original_word,preferred_term
lecturers,academic staff
professors,academic staff
teachers,academic staff
instructors,academic staff
tutors,academic staff
staff members,staff
head,dean
hod,head of department
dept,department
school,university
college,faculty
course,subject
class,course
subject,course
unit,credit
credit unit,unit
course load,unit
non teaching,non-academic
admin worker,non-academic staff
support staff,non-academic staff
clerk,non-academic staff
receptionist,non-academic staff
secretary,non-academic staff
tech staff,technical staff
hostel,accommodation
lodging,accommodation
room,accommodation
school fees,tuition
acceptance fee,admission fee
fees,tuition
enrol,apply
join,apply
sign up,apply
admit,apply
requirement,criteria
conditions,criteria
needed,required
needed for,required for
who handles,who manages
